screen_name,name,description,location,expanded_url,verified,#followers,#friends,#listed,#statuses,joined
RepMikeCapuano,Rep. Michael Capuano,Representing MA's 7th District in the U.S. House of Representatives; former Mayor of Somerville. https://t.co/W9wgyLij84,"Somerville, MA",http://capuano.house.gov,true,10553,207,322,571,2016-06-28T14:57:49+00:00
WarrenDavidson,Warren Davidson,U.S. Congressman serving Ohio's 8th District. Constitutionalist and former Army Ranger. It's not compassionate to bankrupt America!,"Washington, DC",https://davidson.house.gov/,true,8528,4203,354,2009,2016-06-14T15:08:44+00:00
CongBoyle,Rep. Brendan Boyle,"Official Leg. account of Rep. Brendan Boyle. Co-Chair @BlueCollarDems, Proud Father, Loyal Philly sports fan and Fighter for the PA-13 Congressional District","",http://boyle.house.gov,true,8481,2644,191,3047,2015-11-20T20:17:53+00:00
RepLaHood,Darin LaHood,Proudly representing the 18th Congressional District of Illinois.,IL-18 Congressional District,https://lahood.house.gov/,true,10528,430,330,1179,2015-09-17T14:16:48+00:00
RepDanDonovan,Dan Donovan,Representing Staten Island and Brooklyn in NY's 11th Congressional District,"Staten Island, South Brooklyn (NY)",http://donovan.house.gov,true,6984,445,306,2037,2015-07-01T19:06:08+00:00
RepTrentKelly,Trent Kelly,Proudly serving Mississippi's First Congressional District in the U.S. House of Representatives,"",http://trentkelly.house.gov,true,8392,2924,240,1163,2015-06-10T19:56:03+00:00
DonaldNorcross,Donald Norcross,Representing New Jersey's 1st Congressional District in the United States House of Representatives,"",http://norcross.house.gov,true,8418,1162,398,7060,2015-03-27T20:08:34+00:00
RepTedLieu,Rep. Ted Lieu,"Official Twitter account for the Office of Rep. @TedLieu, serving #CA33 in the U.S. House of Representatives • https://t.co/cSZYg2t9ap • https://t.co/oA7bA0mWrM","Los Angeles, CA & Washington, DC",http://www.lieu.house.gov,true,120516,5245,1122,4246,2015-02-19T20:08:54+00:00
dandonovan_ny,Dan Donovan,Born & raised on the north shore of Staten Island. Proudly representing the 11th congressional district. Lucky dad to Aniella Rose.,"",,true,5060,281,149,1192,2015-02-16T22:51:57+00:00
RepAmata,Rep. Aumua Amata🇦🇸,"Congresswoman proudly representing American Samoa. Serving on the @NatResources, @HouseVetAffairs, and @HouseSmallBiz","Washington, D.C.",http://radewagen.house.gov,true,2856,184,166,372,2015-02-09T16:00:36+00:00
RepPeteAguilar,Rep. Pete Aguilar,"Pete Aguilar represents CA’s 31st Congressional District. A former mayor, Rep. Aguilar is committed to strengthening the Inland Empire’s middle class.","San Bernardino, CA",http://aguilar.house.gov/,true,9365,222,458,1482,2015-02-04T21:01:23+00:00
RepGrothman,Rep. Glenn Grothman,U.S. Congressman (WI-06),"Washington, D.C.",http://grothman.house.gov,true,5459,209,364,1440,2015-01-13T15:08:48+00:00
RepMiaLove,Rep. Mia Love,"Official account for Congresswoman Mia Love, Utah's 4th District. 
Use of this page is subject to our guidelines, which are available at https://t.co/FPQkNcVd05","Saratoga Springs, UT",http://love.house.gov,true,36935,286,632,1632,2015-01-13T15:44:28+00:00
CongressmanHice,Rep. Jody Hice,I'm honored to serve Georgia's 10th Congressional District.,"Greensboro, GA; Washington, DC",http://hice.house.gov,true,17483,778,476,2334,2015-01-12T18:48:35+00:00
SteveKnight25,Rep. Steve Knight,Proudly representing California's 25th Congressional District.,"",https://knight.house.gov/,true,6435,37,419,1199,2015-01-12T13:24:19+00:00
RepBuddyCarter,Buddy Carter,Proudly serving Georgia's 1st Congressional District,"",https://buddycarter.house.gov/,true,14297,280,401,1631,2015-01-12T00:33:43+00:00
RepKathleenRice,Kathleen Rice,U.S. Representative for #NY04 (Long Island). Former Nassau County DA.,"Long Island, NY",http://kathleenrice.house.gov,true,25577,1115,551,2414,2015-01-09T21:18:27+00:00
RepDebDingell,Rep. Debbie Dingell,"Proudly serving the people of Michigan's 12th Congressional District.
http://t.co/e7qwdRk0zg
http://t.co/q9q7Jj0s26","Washington, DC",http://debbiedingell.house.gov/,true,35234,2834,642,2592,2015-01-09T19:15:50+00:00
RepBonnie,Rep. Bonnie Watson Coleman,Proudly serving the people of New Jersey’s 12th Congressional District. Proud #BlackWoman. Progressive Dem. Member of the #Resistance. Co-Chair of @CBWGCaucus.,"New Jersey, USA",https://watsoncoleman.house.gov/,true,22528,727,605,4967,2015-01-08T20:18:16+00:00
RepDeSaulnier,Mark DeSaulnier,Honored to represent California's 11th Congressional District. Member of: @transportdems @edworkforcedems @oversightdems,"Concord, CA",https://desaulnier.house.gov/,true,13042,706,494,2798,2015-01-08T15:32:13+00:00
RepJohnKatko,John Katko,Official Twitter account of Rep. John Katko. Proudly representing New York's 24th Congressional District.,"Syracuse, New York",http://Katko.house.gov,true,12634,235,441,763,2015-01-07T21:51:49+00:00
RepRussell,Rep. Steve Russell,Father of five. Small business owner. Retired Lieutenant Colonel. Proudly serving the Fifth District of Oklahoma in Congress.,"Oklahoma, USA",https://russell.house.gov/,true,9670,527,335,644,2015-01-07T21:24:35+00:00
RepRubenGallego,Ruben Gallego,Proud representative of Arizona's 7th Congressional District. #AZ07,"Phoenix, AZ",http://rubengallego.house.gov,true,71422,2998,824,3945,2015-01-07T19:31:08+00:00
RepMarkWalker,Rep. Mark Walker,Member of U.S. Congress & Chairman of the @RepublicanStudy Committee. Former Pastor gratefully representing the 6th District of North Carolina.,"",http://walker.house.gov,true,12356,1197,448,3878,2015-01-07T16:20:28+00:00
RepRodBlum,Congressman Rod Blum,Official Account Of Iowa's 1st District Congressman Rod Blum. Member of @GOPoversight & @HouseSmallBiz #IA01. https://t.co/UGNts1QJPN,Northeast Iowa,http://blum.house.gov,true,13047,2263,541,2613,2015-01-06T22:59:49+00:00
RepMcSally,Martha McSally,Honored to represent the people of Arizona's Second Congressional District in the U.S. House of Representatives.,Southern Arizona,http://mcsally.house.gov,true,41179,759,741,2996,2015-01-06T20:39:37+00:00
RepBost,Rep. Mike Bost,"Member of Congress proudly representing IL-12. Serving on @transport, @HouseAgNews, and @HouseVetAffairs Committees. Find me on FB at https://t.co/cjWY9Itiyr",IL-12 Congressional District,http://bost.house.gov,true,9081,1747,402,1604,2015-01-06T19:55:08+00:00
RepAlexMooney,Rep. Alex Mooney,"Husband, Father, Conservative Representing West Virginia's 2nd Congressional District. #wv02 #wvpol Member of @financialcmte","Charles Town, WV",http://mooney.house.gov,true,7547,468,374,1605,2015-01-06T17:13:10+00:00
RepRickAllen,Rick W. Allen,Proudly representing Georgia's 12th Congressional District,"Augusta, GA and Washington, DC",http://allen.house.gov,true,14362,129,377,1425,2015-01-06T14:45:18+00:00
SenThomTillis,Senator Thom Tillis,Official Twitter account of North Carolina U.S. Senator Thom Tillis.,"Washington, D.C.",http://tillis.senate.gov,true,66648,4663,1367,3843,2015-01-06T14:22:18+00:00
HurdOnTheHill,Rep. Will Hurd,"Serving #TX23 in Congress, #SanAntonio native, @TAMU grad, formerly undercover @CIA, @GOPOversight IT Subcommittee Chair, also on House #Intel & @HouseHomeland",#TX23,http://hurd.house.gov,true,31643,1076,907,5144,2015-01-06T04:27:18+00:00
RepTomMacArthur,Tom MacArthur,Congressman for New Jersey's Third Congressional District,"",http://macarthur.house.gov,true,14865,659,488,2159,2015-01-05T23:22:19+00:00
SenSasse,Senator Ben Sasse,The press office account of U.S. Sen. Sasse. His (less political/hopefully more interesting) personal account is @ BenSasse.,"",,true,133463,1,1659,890,2015-01-05T22:39:56+00:00
RepAbraham,Rep. Ralph Abraham,"Proudly representing Louisiana's 5th District. Rural family physician, veteran, farmer, pilot, former veterinarian, husband, father & grandfather.","",,true,14515,107,381,754,2015-01-05T23:01:54+00:00
RepDonBeyer,Rep. Don Beyer,"Representing Northern Virginia’s #VA8 in Congress. Vice-Ranking @SciCmteDems, top Science Oversight Dem. Co-Chair @CaucusOnClimate. #StopGunViolence #EqualPay",Northern Virginia & DC,http://beyer.house.gov,true,63584,3327,1128,15268,2015-01-05T22:09:04+00:00
RepStefanik,Rep. Elise Stefanik,"Official Twitter Account for Congresswoman Elise Stefanik, proudly representing New York's 21st District.","",http://stefanik.house.gov,true,18588,255,602,3707,2015-01-05T22:17:51+00:00
SenatorRounds,Senator Mike Rounds,U.S. Senator for South Dakota,"Pierre, South Dakota",http://rounds.senate.gov,true,18978,545,790,2712,2015-01-01T20:23:49+00:00
RepFrenchHill,French Hill,Official account for Rep French Hill. Ninth generation Arkansan and Little Rock businessman proudly representing Arkansas's Second Congressional District. #AR2,"Washington, DC",http://hill.house.gov,true,12631,783,426,1931,2014-12-31T23:54:58+00:00
RepRyanCostello,Rep. Ryan Costello,"U.S. Congressman #PA06. @HouseCommerce Committee. Proudly represent parts of Berks, Chester, Montgomery, & Lebanon Counties",PA-06,https://costello.house.gov/,true,15092,498,464,1573,2014-12-31T22:38:23+00:00
RepGarretGraves,Rep. Garret Graves,Official Twitter Page of Congressman Garret Graves (LA06),Follow us on Facebook: ,https://www.facebook.com/CongressmanGarretGraves/,true,9554,971,308,3239,2014-12-30T17:51:24+00:00
RepComstock,Barbara Comstock,Honored To Represent Virginia’s 10th Congressional District. Attorney • Legislator • Mom,Virginia's 10th CD,https://comstock.house.gov/,true,17354,676,515,3782,2014-12-20T15:03:37+00:00
RepPoliquin,Rep. Bruce Poliquin,Proudly Serving Maine's Second Congressional District,"",http://poliquin.house.gov,true,9962,343,413,1602,2014-12-19T21:32:47+00:00
RepNewhouse,Rep Dan Newhouse,Proud to represent Washington's 4th District in the U.S. Congress,"",https://newhouse.house.gov/,true,11308,1667,408,1286,2014-12-18T20:19:23+00:00
RepBrianBabin,Brian Babin,Honored to serve citizens of #TX36 in U.S. Congress. Chairman of @HouseScience Space Subcommittee and Member of House @Transport Committee.,"",http://www.facebook.com/RepBrianBabin,true,10725,647,475,2531,2014-12-18T13:28:53+00:00
RepAdams,Alma S. Adams,Congresswoman from NC-12. Educator. Artist. Founder & Co-Chair of the Bipartisan HBCU Caucus.,"",http://adams.house.gov/,true,11809,1428,543,5744,2014-12-11T19:54:07+00:00
RepMikeBishop,Mike Bishop,Official account for Congressman Mike Bishop #MI08. Proudly serving on the tax-writing @WaysandMeansGOP.,"Rochester, MI",http://mikebishop.house.gov,true,14118,823,449,2240,2014-12-10T22:19:34+00:00
RepTomEmmer,Tom Emmer,"Husband, father, hockey fan, and Congressman for Minnesota's 6th District.","Otsego, MN | Washington, D.C.",http://Emmer.house.gov,true,11447,798,400,3956,2014-12-10T21:44:52+00:00
RepLoudermilk,Barry Loudermilk,"Rep. Barry Loudermilk represents Georgia's 11th Congressional District, which includes all of Bartow and Cherokee counties and portions of Cobb and Fulton.","",https://loudermilk.house.gov/,true,14127,1562,401,1993,2014-12-10T18:53:17+00:00
SenDanSullivan,SenDanSullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,"",http://www.sullivan.senate.gov,true,31430,649,818,2093,2014-11-05T21:25:42+00:00
RepDaveTrott,Dave Trott,"Dad, husband, lifelong resident of Southeast Michigan and Representative for Michigan's 11th District.","",http://www.Trott.House.gov,true,14416,220,371,614,2014-11-09T22:42:17+00:00
sendavidperdue,David Perdue,Official Twitter account for U.S. Senator David Perdue of Georgia.,Georgia,http://perdue.senate.gov,true,55224,997,1175,3472,2014-11-05T20:58:02+00:00
RepLawrence,Brenda Lawrence,"Congresswoman for Michigan's 14th District: Detroit, Southfield, Oakland and Wayne Counties. Instagram: Repbrendalawrence, Facebook: Rep.BLawrence","Washington, DC",https://lawrence.house.gov/,true,12346,1161,473,4134,2014-11-05T18:46:39+00:00
RepKenBuck,Congressman Ken Buck,Husband. Father. Proudly represent the wonderful people of Colorado CD-04.," Windsor, CO | Washington, DC",http://buck.house.gov,true,19268,335,581,1346,2014-11-05T14:49:30+00:00
USRepGaryPalmer,Gary Palmer,Proudly serving the people of Alabama's 6th Congressional District.,"",https://palmer.house.gov/,true,14902,888,446,1922,2014-11-04T22:58:38+00:00
SenJoniErnst,Joni Ernst,Follow for news and updates from the Office of Iowa Senator Joni K. Ernst. Tweets from Joni are signed JKE.,Iowa,http://Ernst.Senate.Gov,true,47271,130,1030,2256,2014-11-02T13:32:54+00:00
RepCurbelo,Rep. Carlos Curbelo,"Representing Florida's 26th Congressional District, Husband, Dad, Catholic, Son of Cuban exiles, GOP, UM gradx2, Belen Jesuit","",https://curbelo.house.gov/,true,20038,246,697,3821,2014-10-31T14:01:43+00:00
RepWesterman,Rep. Bruce Westerman,Representing the 4th District of Arkansas. Chair − @NatResources SC on Oversight & Investigations. Husband. Father of 4. Hot Springs native. Engineer. Forester.,"Hot Springs, Arkansas",http://westerman.house.gov,true,8541,200,414,4593,2014-10-31T03:57:48+00:00
RepRatcliffe,John Ratcliffe,U.S. Congressman for Texas' 4th District. @HouseHomeland Cybersecurity Chairman. Member of @HouseJudiciary & House Ethics. Former federal prosecutor.,"Heath, TX",http://ratcliffe.house.gov,true,28087,675,523,2341,2014-10-27T20:20:35+00:00
RepLeeZeldin,Lee Zeldin,Official Twitter of U.S. Congressman Lee Zeldin of New York's 1st Congressional District.,"",,true,55807,1844,726,1752,2014-08-20T19:25:47+00:00
StaceyPlaskett,Rep. Stacey Plaskett,Proudly representing the Virgin Islands of the United States,"U.S. Virgin Is. | Wash., DC",http://plaskett.house.gov,true,5684,443,311,1057,2014-08-11T14:40:01+00:00
RepMoolenaar,Rep. John Moolenaar,Representing Michigan's Fourth Congressional District. This is the Twitter page of the official House office.,"",http://moolenaar.house.gov,true,9502,345,347,811,2014-07-31T21:09:14+00:00
RepDaveBrat,Rep. Dave Brat,"Proudly serving Virginia's Seventh Congressional District #VA07. I sit on the House Committees on @HouseBudgetGOP, @EdWorkforce, and the @HouseSmallBiz","Washington, DC",http://brat.house.gov,true,17185,1135,565,1811,2014-06-11T00:22:04+00:00
RepHastingsFL,Alcee L. Hastings,Congressman Alcee L. Hastings represents parts of Broward and Palm Beach counties in the U.S. House of Representatives.,Florida 20th,http://AlceeHastings.House.gov,true,22619,251,582,1293,2014-04-08T14:53:21+00:00
RepRobWoodall,Rob Woodall,"U.S. Representative for the Seventh District of Georgia, and serving as Chairman of the Rules Subcommittee on Legislative & Budget Process.","Lawrenceville, GA; Wash., D.C.",http://woodall.house.gov,true,11207,719,342,753,2014-03-10T21:01:47+00:00
RepJimmyGomez,Rep. Jimmy Gomez,"Official account for U.S. Congressman Jimmy Gomez (CA-34). 

Find us on FB: https://t.co/1pRH7kHn00","Los Angeles, CA",http://gomez.house.gov,true,6167,3023,210,1849,2014-03-04T03:56:14+00:00
RepKClark,Katherine Clark,Proudly representing the people of the 5th District of Massachusetts.,"",http://katherineclark.house.gov,true,56205,1117,1023,4381,2014-01-15T18:53:47+00:00
RepByrne,Rep. Bradley Byrne,I am proud to represent Alabama's First Congressional District in the U.S. House of Representatives.,Southwest Alabama,http://byrne.house.gov,true,19010,3848,619,13455,2013-12-19T19:42:18+00:00
RepGuthrie,Rep. Brett Guthrie,Fighting for conservative values in Washington while representing the people of Kentucky's 2nd Congressional District,Kentucky's Second District,http://www.guthrie.house.gov,true,14956,222,424,778,2013-09-26T14:37:17+00:00
RepJohnDuncanJr,Rep John Duncan Jr.,"Proudly serving the people of Tennessee's 2nd District in the U.S. Congress, Vice Chairman of @Transport Committee & Member of @GOPoversight.Links ≠ endorsement","Knoxville, TN",http://duncan.house.gov,true,6010,370,368,705,2013-09-19T14:50:04+00:00
USRepKCastor,US Rep Kathy Castor,Tampa Bay's Congresswoman 🇺🇸,"",http://Castor.House.gov,true,14446,3669,655,4956,2013-09-18T20:03:57+00:00
RepBlaine,Blaine Luetkemeyer,Proudly serving Missouri's 3rd Congressional District. House @FinancialCmte and @HouseSmallBiz Commitee member.,Missouri's 3rd District,http://luetkemeyer.house.gov/,true,11313,262,444,1824,2013-09-09T19:53:08+00:00
RepJasonSmith,Rep. Jason Smith,Honored to represent the families of Missouri's 8th Congressional District in the United States House of Representatives.,MO-08,http://jasonsmith.house.gov/,true,27155,977,519,3016,2013-07-26T16:13:03+00:00
RepBeatty,Joyce Beatty,"Official Twitter account for Congresswoman Beatty, representing Ohio's Third Congressional District in the U.S. House of Representatives.",Ohio's Third District,http://beatty.house.gov,true,30071,1897,698,7076,2013-06-19T17:47:09+00:00
RepSanfordSC,Mark Sanford,Serving the #Lowcountry in #SC01. Find me on Facebook at https://t.co/9HU8VA7ySB,SC-01,http://sanford.house.gov,true,12894,687,542,2440,2013-06-11T01:55:44+00:00
USRepLong,U.S. Rep. Billy Long,Representing Missouri’s 7th District in the United States Congress Member of the House Energy and Commerce Committee,"",http://long.house.gov,true,17972,4387,568,6578,2013-05-20T15:02:21+00:00
PeterWelch,Rep. Peter Welch,"Official Twitter Account for Congressman Peter Welch, proudly representing the great state of Vermont in the U.S. House of Representatives.","Vermont and Washington, DC",http://welch.house.gov/,true,14758,1826,687,2114,2013-05-07T16:10:47+00:00
USRepRodney,Rodney Frelinghuysen,Proudly serving the 11th Congressional District of New Jersey in the U.S. House of Representatives and Chairman of @HouseAppropsGOP,"",http://frelinghuysen.house.gov,true,14474,101,563,1143,2013-04-26T14:05:13+00:00
RepRobinKelly,Robin Kelly,"Official Twitter account for Robin Kelly, U.S. Representative #IL02.","",http://robinkelly.house.gov,true,23196,9350,727,3720,2013-04-09T19:02:01+00:00
Rep_Hunter,Rep. Duncan Hunter,"Representing California’s 50th District
https://t.co/0yyKBsCmQe","",http://hunter.house.gov/,true,17264,251,829,618,2013-03-26T21:04:26+00:00
RepChrisSmith,Rep. Chris Smith,"Proud to represent the 4th Congressional District of New Jersey.

Social media policy: https://t.co/vKjnDqaOS5","",http://chrissmith.house.gov/,true,21879,227,591,1066,2013-03-22T18:03:53+00:00
RepTimWalz,Rep. Tim Walz,"Teacher, Football Coach, Command Sgt. Major Proudly Representing Minnesota's 1st Congressional District; Ranking Member of House @VetAffairsDems","",http://walz.house.gov,true,28502,3408,630,3786,2013-03-12T20:27:45+00:00
RepJuanVargas,Rep. Juan Vargas,"Official Twitter account of Rep. Vargas, representing southern San Diego County, all of Imperial County and California's entire U.S.-Mexico border. #CA51","SD/Imperial Counties, CA",http://vargas.house.gov,true,18768,188,666,1947,2013-03-11T19:04:01+00:00
senatemajldr,Leader McConnell,U.S. Senate Majority Leader Mitch McConnell,"Washington, DC",http://republicanleader.senate.gov,true,701489,96,3527,3370,2013-03-07T20:21:15+00:00
JuliaBrownley26,Congresswoman Julia Brownley,Honored to serve California's 26th District in Congress & fight for Ventura County. @VetAffairsDems Health Subcommittee Ranking Member & @TransportDems Member.,"Ventura County & Washington, DC",http://JuliaBrownley.House.gov,true,14772,976,656,3628,2013-03-05T14:51:28+00:00
RepCardenas,Rep. Tony Cárdenas,Proud to represent California's 29th District - the San Fernando Valley - in U.S. Congress. Member of @HouseCommerce; Democratic Assistant Whip.,"San Fernando Valley, CA",http://cardenas.house.gov,true,18246,1416,735,7108,2013-02-26T16:12:35+00:00
SteveScalise,Rep. Steve Scalise,Serving as House Majority Whip and representing LA-01. Follow me on Facebook: http://t.co/mIQZ2Jh9Gt and Instagram: http://t.co/5wuWc45xvq,"Jefferson, LA",http://www.majoritywhip.gov,true,275332,1711,1623,8764,2013-02-22T18:10:47+00:00
repmarkpocan,Rep. Mark Pocan,"Honored to serve the people of Wisconsin's Second District. Co-Chair, @USProgressives and @LGBTEqCaucus. Member of @AppropsDems","Madison, WI",http://pocan.house.gov,true,75318,5354,1044,4947,2013-02-21T22:59:04+00:00
RepDonaldPayne,Rep. Donald Payne Jr,Proudly serving New Jersey's 10th Congressional District,www.facebook.com/DonaldPayneJr,http://payne.house.gov,true,14484,1110,580,4922,2013-02-06T22:52:35+00:00
KeithRothfus,Keith Rothfus,Thank you for visiting my official Twitter account. I proudly represent and serve Pennsylvania's Twelfth Congressional District.,"",http://rothfus.house.gov,true,10789,488,517,4570,2013-02-06T21:51:36+00:00
